Day,Weekday,Bets,Losses,Earnings,Win/Loss,Running Total
4/11/2025,Friday,"$7,259","-$1,260",$750,1,"$22,271"
4/12/2025,Saturday,"$12,230","-$1,680","$1,319",1,"$23,590"
4/13/2025,Sunday,"$2,313",$0,$289,1,"$23,879"
4/14/2025,Monday,"$1,834",$0,$229,1,"$24,108"
4/15/2025,Tuesday,"$5,316","-$6,600",-$161,0,"$23,948"
4/16/2025,Wednesday,"$9,960","-$7,650",$289,1,"$24,237"
4/17/2025,Thursday,"$2,251",$0,$281,1,"$24,518"
4/18/2025,Friday,"$4,785","-$3,510",$159,1,"$24,677"
4/19/2025,Saturday,"$9,716","-$13,470",-$469,0,"$24,208"
4/20/2025,Sunday,"$2,037",$0,$255,1,"$24,463"
4/21/2025,Monday,"$2,342",$0,$293,1,"$24,755"
4/22/2025,Tuesday,"$3,926",-$630,$412,1,"$25,167"
4/23/2025,Wednesday,"$8,811","-$4,830",$498,1,"$25,665"
4/24/2025,Thursday,"$1,905",-$600,$163,1,"$25,828"
4/25/2025,Friday,"$4,228",$0,$529,1,"$26,357"
4/26/2025,Saturday,"$9,498","-$6,000",$437,1,"$26,794"
4/27/2025,Sunday,"$1,303",-$600,$88,1,"$26,882"
4/28/2025,Monday,"$1,466",-$600,$108,1,"$26,990"
4/29/2025,Tuesday,"$4,012","-$4,860",-$106,0,"$26,884"
4/30/2025,Wednesday,"$8,898","-$19,020","-$1,265",0,"$25,619"
5/1/2025,Thursday,$0,$0,$0,0,"$25,619"
5/2/2025,Friday,"$3,615","-$2,520",$274,1,"$25,893"
5/3/2025,Saturday,"$9,678",$0,"$1,210",1,"$27,102"
5/4/2025,Sunday,"$1,010",,$126,1,"$27,229"
5/5/2025,Monday,"$1,660",$0,$415,1,"$27,644"
5/6/2025,Tuesday,"$2,561","-$3,450",-$222,0,"$27,421"
5/7/2025,Wednesday,"$7,818","-$3,900",$490,1,"$27,911"
5/8/2025,Thursday,"$1,221",-$600,$155,1,"$28,066"
5/9/2025,Friday,"$2,898","-$2,520",$95,1,"$28,161"
5/10/2025,Saturday,"$8,855","-$7,110",$218,1,"$28,379"
5/11/2025,Sunday,"$1,336",$0,$167,1,"$28,546"
5/12/2025,Monday,"$1,312",$0,$328,1,"$28,874"
5/13/2025,Tuesday,"$2,247","-$2,520",-$68,0,"$28,806"
5/14/2025,Wednesday,"$7,419","-$35,670","-$3,531",0,"$25,274"
5/15/2025,Thursday,$784,$0,$196,1,"$25,470"
5/16/2025,Friday,"$2,704","-$2,520",$46,1,"$25,516"
5/17/2025,Saturday,"$7,137","-$2,550",$573,1,"$26,090"
5/18/2025,Sunday,"$1,480",$0,$185,1,"$26,275"
5/19/2025,Monday,$642,$0,$161,1,"$26,435"
5/20/2025,Tuesday,"$2,478","-$6,420",-$986,0,"$25,450"
5/21/2025,Wednesday,"$7,389","-$1,050",$792,1,"$26,242"
5/22/2025,Thursday,"$1,023",$0,$256,1,"$26,498"
5/23/2025,Friday,"$3,088","-$1,890",$300,1,"$26,797"
5/24/2025,Saturday,"$8,839","-$19,580","-$1,343",0,"$25,455"
5/25/2025,Sunday,$583,$0,$73,1,"$25,528"
5/26/2025,Monday,"$1,332","-$1,050",$71,1,"$25,598"
5/27/2025,Tuesday,"$2,494",-$420,$519,1,"$26,117"
5/28/2025,Wednesday,"$7,291","-$11,550",-$532,0,"$25,584"
5/29/2025,Thursday,"$1,268",$0,$317,1,"$25,901"
5/30/2025,Friday,"$2,686","-$3,360",-$169,0,"$25,733"
5/31/2025,Saturday,"$8,781","-$4,380",$550,1,"$26,283"
6/1/2025,Sunday,"$1,159",$0,$145,1,"$26,428"
6/2/2025,Monday,"$1,028",$0,$257,1,"$26,685"
6/3/2025,Tuesday,"$2,435",$0,$609,1,"$27,293"
6/4/2025,Wednesday,"$8,868","-$1,050",$977,1,"$28,271"
6/5/2025,Thursday,"$1,339",$0,$335,1,"$28,605"
6/6/2025,Friday,"$3,263",$0,$816,1,"$29,421"
6/7/2025,Saturday,"$11,620","-$10,540",$135,1,"$29,556"
6/8/2025,Sunday,"$1,416",-$450,$121,1,"$29,677"
6/9/2025,Monday,"$1,459",-$600,$215,1,"$29,892"
6/10/2025,Tuesday,"$2,708","-$1,050",$415,1,"$30,306"
6/11/2025,Wednesday,"$9,055","-$4,900",$519,1,"$30,826"
6/12/2025,Thursday,"$1,282",$0,$321,1,"$31,146"
6/13/2025,Friday,"$3,303","-$2,520",$196,1,"$31,342"
6/14/2025,Saturday,"$10,473","-$6,670",$475,1,"$31,817"
6/15/2025,Sunday,$761,$0,$95,1,"$31,912"
6/16/2025,Monday,"$1,499",$0,$375,1,"$32,287"
6/17/2025,Tuesday,"$2,439",-$420,$505,1,"$32,792"
6/18/2025,Wednesday,"$10,772","-$9,000",$222,1,"$33,013"
6/19/2025,Thursday,"$1,023",$0,$256,1,"$33,269"
6/20/2025,Friday,"$2,951","-$1,050",$475,1,"$33,744"
6/21/2025,Saturday,"$11,698","-$9,120",$322,1,"$34,067"
6/22/2025,Sunday,"$1,297",$0,$162,1,"$34,229"
6/23/2025,Monday,"$1,549","-$1,050",$125,1,"$34,353"
6/24/2025,Tuesday,"$2,606","-$5,310",-$676,0,"$33,677"
6/25/2025,Wednesday,"$11,067","-$1,300","$1,221",1,"$34,898"
6/26/2025,Thursday,"$1,916",$0,$479,1,"$35,377"
6/27/2025,Friday,"$2,256",$0,$564,1,"$35,941"
6/28/2025,Saturday,"$9,453","-$6,775",$335,1,"$36,276"
6/29/2025,Sunday,$638,$0,$80,1,"$36,356"
6/30/2025,Monday,"$1,078",$0,$270,1,"$36,625"
7/1/2025,Tuesday,"$1,987",$0,$497,1,"$37,122"
7/2/2025,Wednesday,"$6,326","-$5,880",$56,1,"$37,178"
7/3/2025,Thursday,$490,$0,$123,1,"$37,300"
7/4/2025,Friday,"$2,327","-$2,520",-$48,0,"$37,252"
7/5/2025,Saturday,"$7,070","-$4,200",$359,1,"$37,611"
7/6/2025,Sunday,$361,$0,$45,1,"$37,656"
7/7/2025,Monday,"$1,013",$0,$253,1,"$37,909"
7/8/2025,Tuesday,"$3,234","-$3,680",-$112,0,"$37,798"
7/9/2025,Wednesday,"$5,859",-$920,$617,1,"$38,415"
7/10/2025,Thursday,$867,$0,$217,1,"$38,632"
7/11/2025,Friday,"$2,368","-$2,520",-$38,0,"$38,594"
7/12/2025,Saturday,"$7,465","-$8,730",-$158,0,"$38,436"
7/13/2025,Sunday,$571,$0,$71,1,"$38,507"
7/14/2025,Monday,"$1,242",-$600,$161,1,"$38,668"
7/15/2025,Tuesday,"$2,543","-$2,520",$6,1,"$38,673"
7/16/2025,Wednesday,"$7,111","-$1,090",$753,1,"$39,426"
7/17/2025,Thursday,"$1,703",$0,$426,1,"$39,852"
7/18/2025,Friday,"$2,402",-$630,$443,1,"$40,295"
7/19/2025,Saturday,"$7,012","-$13,080",-$759,0,"$39,536"
7/20/2025,Sunday,"$1,082","-$4,500",-$427,0,"$39,109"
7/21/2025,Monday,"$1,360","-$1,050",$78,1,"$39,186"
7/22/2025,Tuesday,"$2,536",-$420,$529,1,"$39,715"
7/23/2025,Wednesday,"$6,458","-$4,500",$245,1,"$39,960"
7/24/2025,Thursday,$937,"-$1,350",-$103,0,"$39,857"
7/25/2025,Friday,"$2,348","-$6,420","-$1,018",0,"$38,839"
7/26/2025,Saturday,"$7,665","-$8,070",-$51,0,"$38,788"
7/27/2025,Sunday,$819,$0,$102,1,"$38,891"
7/28/2025,Monday,$910,$0,$228,1,"$39,118"
7/29/2025,Tuesday,"$1,972","-$1,260",$178,1,"$39,296"
7/30/2025,Wednesday,"$7,139","-$24,530","-$2,174",0,"$37,122"
7/31/2025,Thursday,"$1,362","-$5,250",-$972,0,"$36,150"
8/1/2025,Friday,"$2,586","-$2,520",$17,1,"$36,167"
8/2/2025,Saturday,"$8,046",-$500,$943,1,"$37,110"
8/3/2025,Sunday,"$1,191",-$300,$111,1,"$37,221"
8/4/2025,Monday,$825,"-$1,650",-$206,0,"$37,015"
8/5/2025,Tuesday,"$1,734",-$300,$359,1,"$37,374"
8/6/2025,Wednesday,"$6,058","-$3,000",$382,1,"$37,756"
8/7/2025,Thursday,$736,-$75,$165,1,"$37,921"
8/8/2025,Friday,"$2,397","-$6,000",-$901,0,"$37,020"
8/9/2025,Saturday,"$7,042","-$1,720",$665,1,"$37,686"
8/10/2025,Sunday,$399,-$300,$12,1,"$37,698"
8/11/2025,Monday,$856,$0,$214,1,"$37,912"
8/12/2025,Tuesday,"$2,359","-$3,520",-$290,0,"$37,622"
8/13/2025,Wednesday,"$7,351","-$17,500","-$1,269",0,"$36,353"
8/14/2025,Thursday,$734,$0,$184,1,"$36,537"
8/15/2025,Friday,"$2,264","-$2,520",-$64,0,"$36,473"
8/16/2025,Saturday,"$7,285","-$18,630","-$1,418",0,"$35,055"
8/17/2025,Sunday,$682,$0,$85,1,"$35,140"
8/18/2025,Monday,$764,$0,$191,1,"$35,331"
8/19/2025,Tuesday,"$2,500",,$625,1,"$35,956"
8/20/2025,Wednesday,"$6,612","-$1,680",$617,1,"$36,572"
8/21/2025,Thursday,$988,$0,$247,1,"$36,819"
8/22/2025,Friday,"$2,059","-$2,100",-$10,0,"$36,809"
8/23/2025,Saturday,"$7,453","-$15,930","-$1,060",0,"$35,749"
8/24/2025,Sunday,$607,"-$6,000",-$674,0,"$35,075"
8/25/2025,Monday,$432,$0,$108,1,"$35,183"
8/26/2025,Tuesday,"$2,255","-$1,200",$264,1,"$35,447"
8/27/2025,Wednesday,"$7,372",-$420,$869,1,"$36,316"
8/28/2025,Thursday,"$1,004",$0,$251,1,"$36,567"
8/29/2025,Friday,"$2,575",$0,$644,1,"$37,211"
8/30/2025,Saturday,"$7,225","-$22,860","-$1,954",0,"$35,256"
8/31/2025,Sunday,$821,$0,$103,1,"$35,359"
9/1/2025,Monday,,,,0,"$35,359"
9/2/2025,Tuesday,,,,0,"$35,359"
9/3/2025,Wednesday,,,,0,"$35,359"
9/4/2025,Thursday,,,,0,"$35,359"
9/5/2025,Friday,,,,0,"$35,359"
9/6/2025,Saturday,,,,0,"$35,359"
9/7/2025,Sunday,,,,0,"$35,359"
